class	region_va	base_va	name	rows	callers	strings
CHANGED	8007BF3C	8007B5A8	AudioEng_Set__Fiiiiiiii	164	AudioCmn_SoundCar__FP8Car_tObjiiiiiii	
CHANGED	8007E71C	8007DD74	SetupChunkBuildList__FP13DRender_tView	224	BWorld_OnyxBuildFacets__FP13DRender_tView	
CHANGED	8007EEA8	8007E4AC	BWorld_OpenContext__Fii	56	BWorld_Init__Fv;BWorld_Init__Fv	
CHANGED	8007EFEC	8007E5C8	BWorld_Init__Fv	187	Nfs2_GameModuleStartUp__FPi	
CHANGED	8008A300	800898DC	Car_DoPostCollisionStuff__FP8Car_tObj	180		
CHANGED	8008BE88	8008B3FC	InstanceGroup__5ChunkP15SerializedGroupP9SimpleMem	354	Track_Init__FPc	
CHANGED	80098F24	80098434	Lose__Q26Speech13MobileSpeaker	209		
CHANGED	8009A0D0	800995F0	CopSpeak_InitRequest__FP17CopSpeak_tRequest	13	AudioCmn_GetAsyncSfx__Fiib;AudioCmn_CheckState__FP8Car_tObj;CopSpeak_InitVars__Fv;CopSpeak_DirectRequest__FillP8Car_tObjPc	
CHANGED	8009A168	80099684	CopSpeak_Alloc__FP17CopSpeak_tRequest	32	CopSpeak_LoadNextRequest__Fv	
CHANGED	8009A1E8	8009971C	CopSpeak_Free__FP17CopSpeak_tRequest	45	CopSpeak_ReadyNextRequest__Fv	
CHANGED	8009A29C	800997AC	CopSpeak_ReadyNextRequest__Fv	176		
REGION-ONLY	8009A5AC		func_8009A5AC	44	AudioCmn_Reset__Fv;AudioCmn_UnPauseAndRestart__Fv;CopSpeak_Stop__Fv	
CHANGED	8009A710	80099B70	CopSpeak_InitVars__Fv	32	CopSpeak_StartUp__Fv	
CHANGED	8009A790	80099BEC	CopSpeak_DirectRequest__FillP8Car_tObjPc	49	SubmitRequest__6Speechlll	
CHANGED	8009A854	80099C98	CopSpeak_GenericBankRequest__FiP8Car_tObj	47	SubmitRequest__6Speechlll	
CHANGED	8009B09C	8009A4C8	CopSpeak_Request__FP17CopSpeak_tRequest	84	AudioCmn_GetAsyncSfx__Fiib;AudioCmn_CheckState__FP8Car_tObj;AudioCmn_CheckState__FP8Car_tObj;AudioCmn_CheckState__FP8Car_tObj	
CHANGED	8009B21C	8009A634	CopSpeak_LoadNextRequest__Fv	135		
CHANGED	8009B438	8009A828	CopSpeak_PlayNextRequest__Fv	81		
REGION-ONLY	8009B57C		func_8009B57C	192	AudioClc_SoundSpeech__Fv;AudioCmn_Reset__Fv;AudioTrk_PreLoad__Fv	
CHANGED	8009C7C8	8009BD9C	GameSetup_StartUp__FPi	263	Nfs2_GameModuleStartUp__FPi	
CHANGED	8009EEAC	8009E3E8	MPause_MusicLogic__Fc	192	MPause_Logic__Fv	
CHANGED	800A3990	800A2E84	Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj	492	Collide_CheckMeForCollisions__FP13BO_tNewtonObj	
CHANGED	800A4A6C	800A3F08	NFS4_LoadPerps__Fv	172	Nfs2_GameModuleStartUp__FPi	
CHANGED	800A5DCC	800A5258	Object_KillStatus__Fv	28	BWorld_Restart__Fv;BWorld_DeInit__Fv	
REGION-ONLY	800A7788		func_800A7788	14	Track_Init__FPc	
REGION-ONLY	800A77C0		func_800A77C0	9	Track_DeInit__Fv	
REGION-ONLY	800A77E4		func_800A77E4	10		
REGION-ONLY	800A780C		func_800A780C	6		
REGION-ONLY	800A7824		func_800A7824	8	Object_CheckCollisionResults__FP18Object_tSimObjListiP13BO_tNewtonObj	
REGION-ONLY	800A7844		func_800A7844	8	___23ObjectFinishedMultiAnim	
REGION-ONLY	800A7864		func_800A7864	8	Object_CheckCollisionResults__FP18Object_tSimObjListiP13BO_tNewtonObj	
REGION-ONLY	800A7884		func_800A7884	8	___22ObjectFinishedSignAnim	
CHANGED	800A82E4	800A7650	Draw__25tPMenuItemLeftRightChoiceb	44		
CHANGED	800A8534	800A79C8	Draw__25tPMenuItemLeftRightSliderb	96	Draw__32tPMenuItemLeftRightSliderIndexedb	
CHANGED	800ACBAC	800AC164	Physics_Real__FP8Car_tObj	1273	Physics_SimCar__FP8Car_tObj	
CHANGED	800B061C	800AFBD0	R3DCar_InsertCarFacet__FP8Car_tObjP13DRender_tView	1153	R3DCar_InsertCarFacetZ__FP8Car_tObjP13DRender_tView	
CHANGED	800B2BE4	800B2174	R3DCar_InsertCarFacetII__FP8Car_tObj	382	R3DCar_InsertAllListFacet__FP13DRender_tView	
