module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/libpad/PADENTRY         nosched1             5       8      72       6
syslib/psx/libpad/PADENTRY         nosched2             2       8     127       2
syslib/psx/libpad/PADENTRY         G0                   5       8      72       6
syslib/psx/libpad/PADENTRY         G8                   5       8      72       6
syslib/psx/libpad/PADENTRY         nosplit              6       8      52       6
syslib/psx/libpad/PADMAIN          BASE                 1      11     667       3
syslib/psx/libpad/PADMAIN          O1                   1      11     757       3
syslib/psx/libpad/PADMAIN          nodelay              1      11     777       2
syslib/psx/libpad/PADMAIN          nosched1             1      11     685       5
syslib/psx/libpad/PADMAIN          nosched2             1      11     685       2
syslib/psx/libpad/PADMAIN          G0                   0      11     871       2
syslib/psx/libpad/PADMAIN          G8                   1      11     634       3
syslib/psx/libpad/PADMAIN          nosplit              2      11     614       3
syslib/psx/libpad/PADPORTD         BASE                 2       8     360       4
syslib/psx/libpad/PADPORTD         O1                   2       8     412       4
syslib/psx/libpad/PADPORTD         nodelay              1       8     417       1
